transformer_id,timestamp,voltage_kv,current_a,oil_temperature_c,winding_temperature_c,oil_level_pct,vibration_mm_s,load_percentage,ambient_temperature_c,humidity_pct,dissolved_gas_ppm
TR-001,2026-09-15T00:00:00,129.49,296.01,66.91,81.16,88.39,1.58,66.28,21.84,69.27,43.12
TR-001,2026-09-15T01:00:00,132.03,284.75,66.29,80.15,87.69,1.74,64.33,22.43,70.71,43.28
TR-001,2026-09-15T02:00:00,133.05,315.43,69.26,83.34,87.53,1.62,70.45,22.97,70.13,45.91
TR-001,2026-09-15T03:00:00,133.21,323.78,69.85,84.4,88.24,1.81,71.87,26.09,65.54,46.06
TR-001,2026-09-15T04:00:00,129.6,323.39,68.9,82.99,87.48,1.7,72.47,24.7,66.26,45.46
TR-001,2026-09-15T05:00:00,130.47,318.11,70.64,85.22,87.52,1.85,71.21,27.31,59.52,45.77
TR-001,2026-09-15T06:00:00,132.74,349.68,73.23,88.65,87.55,1.66,77.58,27.22,60.56,45.57
TR-001,2026-09-15T07:00:00,134.34,331.23,70.99,85.37,88.2,1.77,72.77,26.78,60.92,45.74
TR-001,2026-09-15T08:00:00,130.75,347.3,72.92,87.4,88.26,1.82,76.99,29.19,56.26,45.19
TR-001,2026-09-15T09:00:00,132.67,339.48,71.18,85.72,88.23,1.81,74.79,28.43,62.68,48.69
TR-001,2026-09-15T10:00:00,133.17,341.25,72.21,87.22,87.31,1.78,75.43,29.44,58.06,49.32
TR-001,2026-09-15T11:00:00,130.75,376.93,76.26,92.39,87.47,1.93,83.76,29.04,59.59,46.36
TR-001,2026-09-15T12:00:00,132.21,382.0,75.3,90.6,87.16,2.03,84.27,30.76,58.63,49.33
TR-001,2026-09-15T13:00:00,129.67,372.96,75.45,90.81,87.18,1.95,82.04,32.67,55.09,46.76
TR-001,2026-09-15T14:00:00,132.26,379.25,77.27,92.44,87.62,1.97,84.8,33.12,51.03,47.75
TR-001,2026-09-15T15:00:00,132.79,393.31,76.94,92.38,87.39,1.94,87.54,31.39,53.8,47.63
TR-001,2026-09-15T16:00:00,132.69,351.57,75.53,89.93,87.26,1.89,78.73,31.88,52.97,47.53
TR-001,2026-09-15T17:00:00,132.38,378.76,76.94,92.03,87.09,1.86,84.23,30.85,55.77,49.12
TR-001,2026-09-15T18:00:00,132.92,370.11,73.97,89.02,87.82,1.77,81.17,28.13,58.45,49.29
TR-001,2026-09-15T19:00:00,130.83,345.3,73.41,88.94,87.48,1.66,77.29,29.94,60.59,51.09
TR-001,2026-09-15T20:00:00,134.25,364.61,73.36,88.12,87.3,1.69,80.25,27.0,61.27,51.94
